क्रमाङ्क,पदाः
66,"['यस्', 'एनम्', 'वेत्ति', 'हन्तारम्', 'यस्', 'च', 'एनम्', 'मन्यते', 'हतम्', '।', 'उभौ', 'तौ', 'न', 'विजानीतस्', 'न', 'अयम्', 'हन्ति', 'न', 'हन्यते', '॥']"
67,"['न', 'जायते', 'म्रियते', 'वा', 'कदाचित्', 'न', 'अयम्', 'भूत्वा', 'भविता', 'वा', 'न', 'भूयस्', '।', 'अजस्', 'नित्यस्', 'शाश्वतस्', 'अयम्', 'पुराणस्', 'न', 'हन्यते', 'हन्यमाने', 'शरीरे', '॥']"
68,"['वेद', 'अविनाशिनम्', 'नित्यम्', 'यस्', 'एनम्', 'अजम्', 'अव्ययम्', '।', 'कथम्', 'सस्', 'पुरुषस्', 'पार्थ', 'कम्', 'घातयति', 'हन्ति', 'कम्', '॥']"
69,"['वासांसि', 'जीर्णानि', 'यथा', 'विहाय', 'नवानि', 'गृह्णाति', 'नरस्', 'अपराणि', '।', 'तथा', 'शरीराणि', 'विहाय', 'जीर्णानि', 'अन्यानि', 'संयाति', 'नवानि', 'देही', '॥']"
70,"['न', 'एनम्', 'छिन्दन्ति', 'शस्त्राणि', 'न', 'एनम्', 'दहति', 'पावकस्', '।', 'न', 'च', 'एनम्', 'क्लेदयन्ति', 'आपस्', 'न', 'शोषयति', 'मारुतस्', '॥']"
71,"['अच्छेद्यस्', 'अयम्', 'अदाह्यस्', 'अयम्', 'अक्लेद्यस्', 'अशोष्यस्', 'एव', 'च', '।', 'नित्यस्', 'सर्वगतस्', 'स्थाणुस्', 'अचलस्', 'अयम्', 'सनातनस्', '॥']"
72,"['अव्यक्तस्', 'अयम्', 'अचिन्त्यस्', 'अयम्', 'अविकार्यस्', 'अयम्', 'उच्यते', '।', 'तस्मात्', 'एवम्', 'विदित्वा', 'एनम्', 'न', 'अनुशोचितुम्', 'अर्हसि', '॥']"
73,"['अथ', 'च', 'एनम्', 'नित्यजातम्', 'नित्यम्', 'वा', 'मन्यसे', 'मृतम्', '।', 'तथा', 'अपि', 'त्वम्', 'महाबाहो', 'न', 'एवम्', 'शोचितुमर्हसि', '॥']"
74,"['जातस्य', 'हि', 'ध्रुवस्', 'मृत्युस्', 'ध्रुवम्', 'जन्म', 'मृतस्य', 'च', '।', 'तस्मात्', 'अपरिहार्ये', 'अर्थे', 'न', 'त्वम्', 'शोचितुम्', 'अर्हसि', '॥']"
75,"['अव्यक्तादीनि', 'भूतानि', 'व्यक्तमध्यानि', 'भारत', '।', 'अव्यक्तनिधनानि', 'एव', 'तत्र', 'का', 'परिदेवना', '॥']"
